Features: ['Pay'], Test Accuracy: 0.56
Features: ['Perf'], Test Accuracy: 0.66
Features: ['EstHap'], Test Accuracy: 0.5
Features: ['NormPay'], Test Accuracy: 0.54
Features: ['HapDiff'], Test Accuracy: 0.5
Features: ['Pay*Pay'], Test Accuracy: 0.48
Features: ['Perf', 'NormPay', 'HapDiff'], Test Accuracy: 0.59
Features: ['Perf', 'NormPay', 'Pay*Pay'], Test Accuracy: 0.65
Features: ['Perf', 'NormPay', 'Pay*Perf'], Test Accuracy: 0.58
Features: ['Perf', 'NormPay', 'Pay*EstHap'], Test Accuracy: 0.6
Features: ['Perf', 'NormPay', 'Perf*Perf'], Test Accuracy: 0.53
Features: ['Perf', 'NormPay', 'Perf*EstHap'], Test Accuracy: 0.53
Features: ['Perf', 'NormPay', 'EstHap*EstHap'], Test Accuracy: 0.59
Features: ['Perf', 'HapDiff', 'Pay*Pay'], Test Accuracy: 0.59
Features: ['Perf', 'HapDiff', 'Pay*Perf'], Test Accuracy: 0.6
Features: ['Perf', 'HapDiff', 'Pay*EstHap'], Test Accuracy: 0.58
Features: ['Perf', 'HapDiff', 'Perf*Perf'], Test Accuracy: 0.56
Features: ['Perf', 'HapDiff', 'Perf*EstHap'], Test Accuracy: 0.56
Features: ['Perf', 'HapDiff', 'EstHap*EstHap'], Test Accuracy: 0.5
Features: ['Perf', 'Pay*Pay', 'Pay*Perf'], Test Accuracy: 0.67
Features: ['Perf', 'Pay*Pay', 'Pay*EstHap'], Test Accuracy: 0.58
Features: ['Perf', 'Pay*Pay', 'Perf*Perf'], Test Accuracy: 0.47
Features: ['Perf', 'Pay*Pay', 'Perf*EstHap'], Test Accuracy: 0.47
Features: ['Perf', 'Pay*Pay', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['Perf', 'Pay*Perf', 'Pay*EstHap'], Test Accuracy: 0.53
Features: ['Perf', 'Pay*Perf', 'Perf*Perf'], Test Accuracy: 0.53
Features: ['Perf', 'Pay*Perf', 'Perf*EstHap'], Test Accuracy: 0.53
Features: ['Perf', 'Pay*Perf', 'EstHap*EstHap'], Test Accuracy: 0.59
Features: ['Perf', 'Pay*EstHap', 'Perf*Perf'], Test Accuracy: 0.57
Features: ['Perf', 'Pay*EstHap', 'Perf*EstHap'], Test Accuracy: 0.57
Features: ['Perf', 'Pay*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['Perf', 'Perf*Perf', 'Perf*EstHap'], Test Accuracy: 0.29
Features: ['Perf', 'Perf*Perf', 'EstHap*EstHap'], Test Accuracy: 0.56
Features: ['Perf', 'Perf*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.56
Features: ['EstHap', 'NormPay', 'HapDiff'], Test Accuracy: 0.59
Features: ['EstHap', 'NormPay', 'Pay*Pay'], Test Accuracy: 0.58
Features: ['EstHap', 'NormPay', 'Pay*Perf'], Test Accuracy: 0.59
Features: ['EstHap', 'NormPay', 'Pay*EstHap'], Test Accuracy: 0.6
Features: ['EstHap', 'NormPay', 'Perf*Perf'], Test Accuracy: 0.57
Features: ['EstHap', 'NormPay', 'Perf*EstHap'], Test Accuracy: 0.57
Features: ['EstHap', 'NormPay', 'EstHap*EstHap'], Test Accuracy: 0.6
Features: ['EstHap', 'HapDiff', 'Pay*Pay'], Test Accuracy: 0.6
Features: ['EstHap', 'HapDiff', 'Pay*Perf'], Test Accuracy: 0.57
Features: ['EstHap', 'HapDiff', 'Pay*EstHap'], Test Accuracy: 0.57
Features: ['EstHap', 'HapDiff', 'Perf*Perf'], Test Accuracy: 0.5
Features: ['EstHap', 'HapDiff', 'Perf*EstHap'], Test Accuracy: 0.5
Features: ['EstHap', 'HapDiff', 'EstHap*EstHap'], Test Accuracy: 0.5
Features: ['EstHap', 'Pay*Pay', 'Pay*Perf'], Test Accuracy: 0.59
Features: ['EstHap', 'Pay*Pay', 'Pay*EstHap'], Test Accuracy: 0.57
Features: ['EstHap', 'Pay*Pay', 'Perf*Perf'], Test Accuracy: 0.6
Features: ['EstHap', 'Pay*Pay', 'Perf*EstHap'], Test Accuracy: 0.6
Features: ['EstHap', 'Pay*Pay', 'EstHap*EstHap'], Test Accuracy: 0.57
Features: ['EstHap', 'Pay*Perf', 'Pay*EstHap'], Test Accuracy: 0.55
Features: ['EstHap', 'Pay*Perf', 'Perf*Perf'], Test Accuracy: 0.58
Features: ['EstHap', 'Pay*Perf', 'Perf*EstHap'], Test Accuracy: 0.58
Features: ['EstHap', 'Pay*Perf', 'EstHap*EstHap'], Test Accuracy: 0.53
Features: ['EstHap', 'Pay*EstHap', 'Perf*Perf'], Test Accuracy: 0.57
Features: ['EstHap', 'Pay*EstHap', 'Perf*EstHap'], Test Accuracy: 0.57
Features: ['EstHap', 'Pay*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.55
Features: ['EstHap', 'Perf*Perf', 'Perf*EstHap'], Test Accuracy: 0.5
Features: ['EstHap', 'Perf*Perf', 'EstHap*EstHap'], Test Accuracy: 0.5
Features: ['EstHap', 'Perf*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.5
Features: ['NormPay', 'HapDiff', 'Pay*Pay'], Test Accuracy: 0.58
Features: ['NormPay', 'HapDiff', 'Pay*Perf'], Test Accuracy: 0.59
Features: ['NormPay', 'HapDiff', 'Pay*EstHap'], Test Accuracy: 0.6
Features: ['NormPay', 'HapDiff', 'Perf*Perf'], Test Accuracy: 0.57
Features: ['NormPay', 'HapDiff', 'Perf*EstHap'], Test Accuracy: 0.57
Features: ['NormPay', 'HapDiff', 'EstHap*EstHap'], Test Accuracy: 0.6
Features: ['NormPay', 'Pay*Pay', 'Pay*Perf'], Test Accuracy: 0.63
Features: ['NormPay', 'Pay*Pay', 'Pay*EstHap'], Test Accuracy: 0.57
Features: ['NormPay', 'Pay*Pay', 'Perf*Perf'], Test Accuracy: 0.58
Features: ['NormPay', 'Pay*Pay', 'Perf*EstHap'], Test Accuracy: 0.58
Features: ['NormPay', 'Pay*Pay', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['NormPay', 'Pay*Perf', 'Pay*EstHap'], Test Accuracy: 0.56
Features: ['NormPay', 'Pay*Perf', 'Perf*Perf'], Test Accuracy: 0.57
Features: ['NormPay', 'Pay*Perf', 'Perf*EstHap'], Test Accuracy: 0.57
Features: ['NormPay', 'Pay*Perf', 'EstHap*EstHap'], Test Accuracy: 0.59
Features: ['NormPay', 'Pay*EstHap', 'Perf*Perf'], Test Accuracy: 0.6
Features: ['NormPay', 'Pay*EstHap', 'Perf*EstHap'], Test Accuracy: 0.6
Features: ['NormPay', 'Pay*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['NormPay', 'Perf*Perf', 'Perf*EstHap'], Test Accuracy: 0.55
Features: ['NormPay', 'Perf*Perf', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['NormPay', 'Perf*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['HapDiff', 'Pay*Pay', 'Pay*Perf'], Test Accuracy: 0.59
Features: ['HapDiff', 'Pay*Pay', 'Pay*EstHap'], Test Accuracy: 0.57
Features: ['HapDiff', 'Pay*Pay', 'Perf*Perf'], Test Accuracy: 0.6
Features: ['HapDiff', 'Pay*Pay', 'Perf*EstHap'], Test Accuracy: 0.6
Features: ['HapDiff', 'Pay*Pay', 'EstHap*EstHap'], Test Accuracy: 0.57
Features: ['HapDiff', 'Pay*Perf', 'Pay*EstHap'], Test Accuracy: 0.55
Features: ['HapDiff', 'Pay*Perf', 'Perf*Perf'], Test Accuracy: 0.58
Features: ['HapDiff', 'Pay*Perf', 'Perf*EstHap'], Test Accuracy: 0.58
Features: ['HapDiff', 'Pay*Perf', 'EstHap*EstHap'], Test Accuracy: 0.53
Features: ['HapDiff', 'Pay*EstHap', 'Perf*Perf'], Test Accuracy: 0.57
Features: ['HapDiff', 'Pay*EstHap', 'Perf*EstHap'], Test Accuracy: 0.57
Features: ['HapDiff', 'Pay*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.55
Features: ['HapDiff', 'Perf*Perf', 'Perf*EstHap'], Test Accuracy: 0.5
Features: ['HapDiff', 'Perf*Perf', 'EstHap*EstHap'], Test Accuracy: 0.5
Features: ['HapDiff', 'Perf*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.5
Features: ['Pay*Pay', 'Pay*Perf', 'Pay*EstHap'], Test Accuracy: 0.57
Features: ['Pay*Pay', 'Pay*Perf', 'Perf*Perf'], Test Accuracy: 0.57
Features: ['Pay*Pay', 'Pay*Perf', 'Perf*EstHap'], Test Accuracy: 0.57
Features: ['Pay*Pay', 'Pay*Perf', 'EstHap*EstHap'], Test Accuracy: 0.59
Features: ['Pay*Pay', 'Pay*EstHap', 'Perf*Perf'], Test Accuracy: 0.57
Features: ['Pay*Pay', 'Pay*EstHap', 'Perf*EstHap'], Test Accuracy: 0.57
Features: ['Pay*Pay', 'Pay*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['Pay*Pay', 'Perf*Perf', 'Perf*EstHap'], Test Accuracy: 0.5
Features: ['Pay*Pay', 'Perf*Perf', 'EstHap*EstHap'], Test Accuracy: 0.6
Features: ['Pay*Pay', 'Perf*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.6
Features: ['Pay*Perf', 'Pay*EstHap', 'Perf*Perf'], Test Accuracy: 0.51
Features: ['Pay*Perf', 'Pay*EstHap', 'Perf*EstHap'], Test Accuracy: 0.51
Features: ['Pay*Perf', 'Pay*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.56
Features: ['Pay*Perf', 'Perf*Perf', 'Perf*EstHap'], Test Accuracy: 0.56
Features: ['Pay*Perf', 'Perf*Perf', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['Pay*Perf', 'Perf*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['Pay*EstHap', 'Perf*Perf', 'Perf*EstHap'], Test Accuracy: 0.53
Features: ['Pay*EstHap', 'Perf*Perf', 'EstHap*EstHap'], Test Accuracy: 0.57
Features: ['Pay*EstHap', 'Perf*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.57
Features: ['Perf*Perf', 'Perf*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.5
Features: ['Pay', 'Perf', 'EstHap', 'NormPay'], Test Accuracy: 0.59
Features: ['Pay', 'Perf', 'EstHap', 'HapDiff'], Test Accuracy: 0.57
Features: ['Pay', 'Perf', 'EstHap', 'Pay*Pay'], Test Accuracy: 0.58
Features: ['Pay', 'Perf', 'EstHap', 'Pay*Perf'], Test Accuracy: 0.58
Features: ['Pay', 'Perf', 'EstHap', 'Pay*EstHap'], Test Accuracy: 0.64
Features: ['Pay', 'Perf', 'EstHap', 'Perf*Perf'], Test Accuracy: 0.58
Features: ['Pay', 'Perf', 'EstHap', 'Perf*EstHap'], Test Accuracy: 0.58
Features: ['Pay', 'Perf', 'EstHap', 'EstHap*EstHap'], Test Accuracy: 0.55
Features: ['Pay', 'Perf', 'NormPay', 'HapDiff'], Test Accuracy: 0.59
Features: ['Pay', 'Perf', 'NormPay', 'Pay*Pay'], Test Accuracy: 0.65
Features: ['Pay', 'Perf', 'NormPay', 'Pay*Perf'], Test Accuracy: 0.59
Features: ['Pay', 'Perf', 'NormPay', 'Pay*EstHap'], Test Accuracy: 0.57
